id,title,publisher,edition,format,availability,url,download_url,local_path,sha256,retrieved_at,rights_url,rights_notes,whitepaper_ref,notes
energy-estat-index-2,総合エネルギー統計 e-Stat一覧 2,資源エネルギー庁（e-Stat掲載）,2026-04-14更新系列,html,downloaded,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=2&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=2&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,raw/energy/estat-balance-index-2.html,bdcbf1c0783dab65da16b45813fc3f31b8cd3ebb490c91c5957912289fc42c54,2026-09-22T09:55:17.948488+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,
energy-estat-index-3,総合エネルギー統計 e-Stat一覧 3,資源エネルギー庁（e-Stat掲載）,2026-04-14更新系列,html,downloaded,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=3&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,https://www.e-stat.go.jp/stat-search/files?cycle=7&layout=dataset&page=3&result_page=1&tclass1=000001024837&tclass2val=0&toukei=00551010&toukei_kind=9&tstat=000001024835,raw/energy/estat-balance-index-3.html,b7dba2a67fa69ded125738e86d28ad6ade1086df0826239538b2ecd6f04e24bc,2026-09-22T09:55:19.161490+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,
energy-balance-2024,総合エネルギー統計 2024年度 簡易表,資源エネルギー庁（e-Stat掲載）,2024年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391290&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391290&fileKind=0,raw/energy/energy-balance-2024-simple.xlsx,816d7d3e5933ffe94b0cbd7b47fa7fa232fb98fbed2a610f4928c4aa7a2d2008,2026-09-22T09:55:19.162995+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2023,総合エネルギー統計 2023年度 簡易表,資源エネルギー庁（e-Stat掲載）,2023年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040226474&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040226474&fileKind=0,raw/energy/energy-balance-2023-simple.xlsx,42c29802a859eeea3123ac87e2b948303c6be30bfd5d362747bde5d72f92d1ed,2026-09-22T09:55:19.566375+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2022,総合エネルギー統計 2022年度 簡易表,資源エネルギー庁（e-Stat掲載）,2022年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040125366&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040125366&fileKind=0,raw/energy/energy-balance-2022-simple.xlsx,0f220e15f60edbbd0e6879e6c92a40ce2ba40319f0d2a2c9bb74edb8af850ba4,2026-09-22T09:55:19.599564+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2021,総合エネルギー統計 2021年度 簡易表,資源エネルギー庁（e-Stat掲載）,2021年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040054160&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040054160&fileKind=0,raw/energy/energy-balance-2021-simple.xlsx,53d299bec9e9beb4163f7a25074cae59c46dd19387f4f21b7313007c25b4a266,2026-09-22T09:55:19.551139+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2020,総合エネルギー統計 2020年度 簡易表,資源エネルギー庁（e-Stat掲載）,2020年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032190958&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032190958&fileKind=0,raw/energy/energy-balance-2020-simple.xlsx,5a1e753de3cc74e311a864d6d1aaa4997689f2b978e8768410db598f81f61e7c,2026-09-22T09:55:19.562357+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2019,総合エネルギー統計 2019年度 簡易表,資源エネルギー庁（e-Stat掲載）,2019年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032039650&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032039650&fileKind=0,raw/energy/energy-balance-2019-simple.xlsx,f751bf3b6f30a7bf685d69a11fd4d63ec1f06ddad78805a1a9b6ff8150adab65,2026-09-22T09:55:19.938006+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2018,総合エネルギー統計 2018年度 簡易表,資源エネルギー庁（e-Stat掲載）,2018年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031964212&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031964212&fileKind=0,raw/energy/energy-balance-2018-simple.xlsx,1d5cfc01375d816f5f6903d2d638aec523566ba69eb24a28b79d08286772f86f,2026-09-22T09:55:19.945296+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2017,総合エネルギー統計 2017年度 簡易表,資源エネルギー庁（e-Stat掲載）,2017年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188181&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188181&fileKind=0,raw/energy/energy-balance-2017-simple.xlsx,10a4333904575931360126569b051e17ab249272ead922fa0545a6dc8b5ca980,2026-09-22T09:55:19.957423+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2016,総合エネルギー統計 2016年度 簡易表,資源エネルギー庁（e-Stat掲載）,2016年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188183&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188183&fileKind=0,raw/energy/energy-balance-2016-simple.xlsx,9bb42e93fbf7f03925173a7b02ada727717ca7f82670fd904d6ee33a7caf5f0c,2026-09-22T09:55:20.032124+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2015,総合エネルギー統計 2015年度 簡易表,資源エネルギー庁（e-Stat掲載）,2015年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188185&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188185&fileKind=0,raw/energy/energy-balance-2015-simple.xlsx,520bf4073007eb1f8b975a38c2083cbf534b4a50f9e3d7714eccd3ed274b6e8e,2026-09-22T09:55:20.323260+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2014,総合エネルギー統計 2014年度 簡易表,資源エネルギー庁（e-Stat掲載）,2014年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188189&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188189&fileKind=0,raw/energy/energy-balance-2014-simple.xlsx,3e89d6a3c34f49df938c51b23f3b200e1471a636df6e26d30e841547ad241729,2026-09-22T09:55:20.317605+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2013,総合エネルギー統計 2013年度 簡易表,資源エネルギー庁（e-Stat掲載）,2013年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188190&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188190&fileKind=0,raw/energy/energy-balance-2013-simple.xlsx,db238adf8d707146f6778a9e14e2c9c6ac00b6349599832c56f1cd51d4f0fda3,2026-09-22T09:55:20.376428+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2012,総合エネルギー統計 2012年度 簡易表,資源エネルギー庁（e-Stat掲載）,2012年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188193&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188193&fileKind=0,raw/energy/energy-balance-2012-simple.xlsx,f5a6246a46476d4ea67899a4e2ed61426a988fc15d4824daee8fa4d6ffcefb12,2026-09-22T09:55:20.410551+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2011,総合エネルギー統計 2011年度 簡易表,資源エネルギー庁（e-Stat掲載）,2011年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188195&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188195&fileKind=0,raw/energy/energy-balance-2011-simple.xlsx,2bd18f82de1783c16f157bc5dfa77dd4f70eaecb3b99e0344d1cc0f05a66d7d0,2026-09-22T09:55:20.721321+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2010,総合エネルギー統計 2010年度 簡易表,資源エネルギー庁（e-Stat掲載）,2010年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189526&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189526&fileKind=0,raw/energy/energy-balance-2010-simple.xlsx,ff585fa099c3b8d74ee0c54f28c9997d4886b3a1e2d68ac90550b1bf2dc29c27,2026-09-22T09:55:20.713758+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2009,総合エネルギー統計 2009年度 簡易表,資源エネルギー庁（e-Stat掲載）,2009年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188260&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188260&fileKind=0,raw/energy/energy-balance-2009-simple.xlsx,e35aac7d53156c76b937be8f5fc1939ba6ca913ddc15d2e309c103121bc49589,2026-09-22T09:55:20.808463+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2008,総合エネルギー統計 2008年度 簡易表,資源エネルギー庁（e-Stat掲載）,2008年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189521&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189521&fileKind=0,raw/energy/energy-balance-2008-simple.xlsx,639d093ec9c99acd11285bba3b96bcd1633188db4df0ee030bc914f9d1d89b24,2026-09-22T09:55:20.777618+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2007,総合エネルギー統計 2007年度 簡易表,資源エネルギー庁（e-Stat掲載）,2007年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189522&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189522&fileKind=0,raw/energy/energy-balance-2007-simple.xlsx,42935e6943f515b9f249348a49cb2f85ba0ab997e1b9f92a462c5167de54c07a,2026-09-22T09:55:21.096647+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2006,総合エネルギー統計 2006年度 簡易表,資源エネルギー庁（e-Stat掲載）,2006年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189525&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189525&fileKind=0,raw/energy/energy-balance-2006-simple.xlsx,efe5481c23c82bd60a1f94d443c1180c486295636d71316a34843b3e73e853ab,2026-09-22T09:55:21.120364+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2005,総合エネルギー統計 2005年度 簡易表,資源エネルギー庁（e-Stat掲載）,2005年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189529&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189529&fileKind=0,raw/energy/energy-balance-2005-simple.xlsx,2a79f51e19f164fe7419776309b0cdbd5928466db08771a2d6a6b2df7c459b9f,2026-09-22T09:55:21.216610+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2004,総合エネルギー統計 2004年度 簡易表,資源エネルギー庁（e-Stat掲載）,2004年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189530&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189530&fileKind=0,raw/energy/energy-balance-2004-simple.xlsx,1ddbb4ff2db90f412c40f147162e1e6aaee958d85369af37a445376bf8bd012e,2026-09-22T09:55:21.216039+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2003,総合エネルギー統計 2003年度 簡易表,資源エネルギー庁（e-Stat掲載）,2003年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189534&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189534&fileKind=0,raw/energy/energy-balance-2003-simple.xlsx,f6fd467b86f92e1ba24c619175f993a55cbd3e5510638968eb1562fb51ab9189,2026-09-22T09:55:21.476348+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
energy-balance-2002,総合エネルギー統計 2002年度 簡易表,資源エネルギー庁（e-Stat掲載）,2002年度・2026-04-14改訂,xlsx,downloaded,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189535&fileKind=0,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189535&fileKind=0,raw/energy/energy-balance-2002-simple.xlsx,aa53cb383a6317bf121bc608048e6aa50a87c606ec0fb61543e797920d1be8e0,2026-09-22T09:55:21.619957+00:00,https://www.e-stat.go.jp/terms-of-use,e-Stat利用規約および提供元の利用条件に従う。出典・加工の明示が必要。,エネルギー動向2025年6月版 第1章 国内エネルギー動向。2026年4月14日改訂系列は白書掲載時点と異なる。,年度は4月〜翌年3月。エネルギー単位表は高位発熱量・TJ。低位発熱量のIEA準拠自給率と異なる。
